create Simulation
create new Robot- id:0 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:1 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:2 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:3 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:4 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:5 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:6 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:7 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:8 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:9 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:10 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:11 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:12 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:13 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:14 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:15 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:16 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:17 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:18 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:19 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:20 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:21 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:22 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:23 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:24 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:25 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:26 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:27 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:28 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:29 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:30 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:31 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:32 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:33 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:34 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:35 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:36 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:37 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:38 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:39 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:40 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:41 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:42 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:43 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:44 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:45 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:46 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:47 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:48 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:49 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:50 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:51 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:52 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:53 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:54 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:55 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:56 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:57 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:58 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:59 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:60 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:61 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:62 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:63 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:64 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:65 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:66 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:67 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:68 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:69 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:70 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:71 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:72 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:73 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:74 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:75 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:76 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:77 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:78 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:79 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:80 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:81 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:82 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:83 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:84 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:85 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:86 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:87 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:88 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:89 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:90 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:91 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:92 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:93 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:94 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:95 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:96 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:97 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:98 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
create new Robot- id:99 , battery status:50 , message log:[] ,neighbors list:[] ,can move:True
